Site_name2,Site_name,Latitude,Longitude,Country,Max_date,Min_date,Type,Group,Hominin,Artifact_Class,Present,citation
Berekhat Ram,Berekhat Ram,33,35.73333333,Israel,470,233,Open air,200-299,no,exotic,no,NA
Berekhat Ram,Berekhat Ram,33,35.73333333,Israel,470,233,Open air,200-299,no,hafting,no,NA
Berekhat Ram,Berekhat Ram,33,35.73333333,Israel,470,233,Open air,200-299,no,ochre,no,NA
Berekhat Ram,Berekhat Ram,33,35.73333333,Israel,470,233,Open air,200-299,no,ornamentation,no,NA
Berekhat Ram,Berekhat Ram,33,35.73333333,Israel,470,233,Open air,200-299,no,wooden,no,NA
Berekhat Ram,Berekhat Ram,33,35.73333333,Israel,470,233,Open air,200-299,no,art,yes,d'Errico and Nowell 2000
Biddenham,Biddenham,52.14147,-0.50982,United Kingdom,n/a,300,Open air,300-399,no,art,no,NA
Biddenham,Biddenham,52.14147,-0.50982,United Kingdom,n/a,300,Open air,300-399,no,bone,no,NA
Biddenham,Biddenham,52.14147,-0.50982,United Kingdom,n/a,300,Open air,300-399,no,engraved,no,NA
Biddenham,Biddenham,52.14147,-0.50982,United Kingdom,n/a,300,Open air,300-399,no,engravedBone,no,NA
Biddenham,Biddenham,52.14147,-0.50982,United Kingdom,n/a,300,Open air,300-399,no,engravedEggshell,no,NA
Biddenham,Biddenham,52.14147,-0.50982,United Kingdom,n/a,300,Open air,300-399,no,engravedOchre,no,NA
Biddenham,Biddenham,52.14147,-0.50982,United Kingdom,n/a,300,Open air,300-399,no,engravedStone,no,NA
Biddenham,Biddenham,52.14147,-0.50982,United Kingdom,n/a,300,Open air,300-399,no,exotic,no,NA
Biddenham,Biddenham,52.14147,-0.50982,United Kingdom,n/a,300,Open air,300-399,no,hafting,no,NA
Biddenham,Biddenham,52.14147,-0.50982,United Kingdom,n/a,300,Open air,300-399,no,ochre,no,NA
Biddenham,Biddenham,52.14147,-0.50982,United Kingdom,n/a,300,Open air,300-399,no,wooden,no,NA
Biddenham,Biddenham,52.14147,-0.50982,United Kingdom,n/a,300,Open air,300-399,no,ornamentation,yes,Bednarik 2005
Bilzingsleben,Bilzingsleben,51.28333333,11.06666667,Germany,370,230,Open air,300-399,Homo erectus,art,no,NA
Bilzingsleben,Bilzingsleben,51.28333333,11.06666667,Germany,370,230,Open air,300-399,Homo erectus,bone,no,NA
Bilzingsleben,Bilzingsleben,51.28333333,11.06666667,Germany,370,230,Open air,300-399,Homo erectus,engravedEggshell,no,NA
Bilzingsleben,Bilzingsleben,51.28333333,11.06666667,Germany,370,230,Open air,300-399,Homo erectus,engravedOchre,no,NA
Bilzingsleben,Bilzingsleben,51.28333333,11.06666667,Germany,370,230,Open air,300-399,Homo erectus,exotic,no,NA
Bilzingsleben,Bilzingsleben,51.28333333,11.06666667,Germany,370,230,Open air,300-399,Homo erectus,hafting,no,NA
Bilzingsleben,Bilzingsleben,51.28333333,11.06666667,Germany,370,230,Open air,300-399,Homo erectus,ochre,no,NA
Bilzingsleben,Bilzingsleben,51.28333333,11.06666667,Germany,370,230,Open air,300-399,Homo erectus,ornamentation,no,NA
Bilzingsleben,Bilzingsleben,51.28333333,11.06666667,Germany,370,230,Open air,300-399,Homo erectus,wooden,no,NA
Bilzingsleben,Bilzingsleben,51.28333333,11.06666667,Germany,370,230,Open air,300-399,Homo erectus,engraved,yes,Mania and Mania 1988
Bilzingsleben,Bilzingsleben,51.28333333,11.06666667,Germany,370,230,Open air,300-399,Homo erectus,engravedBone,yes,Mania and Mania 1988
Bilzingsleben,Bilzingsleben,51.28333333,11.06666667,Germany,370,230,Open air,300-399,Homo erectus,engravedStone,yes,Mania and Mania 1988
Bizat Ruhama,Bizat Ruhama,31.49938,34.69784,Israel,"1,960",780,Open air,600+,no,art,no,NA
Bizat Ruhama,Bizat Ruhama,31.49938,34.69784,Israel,"1,960",780,Open air,600+,no,bone,no,NA
Bizat Ruhama,Bizat Ruhama,31.49938,34.69784,Israel,"1,960",780,Open air,600+,no,engraved,no,NA
Bizat Ruhama,Bizat Ruhama,31.49938,34.69784,Israel,"1,960",780,Open air,600+,no,engravedBone,no,NA
Bizat Ruhama,Bizat Ruhama,31.49938,34.69784,Israel,"1,960",780,Open air,600+,no,engravedEggshell,no,NA
Bizat Ruhama,Bizat Ruhama,31.49938,34.69784,Israel,"1,960",780,Open air,600+,no,engravedOchre,no,NA
Bizat Ruhama,Bizat Ruhama,31.49938,34.69784,Israel,"1,960",780,Open air,600+,no,engravedStone,no,NA
Bizat Ruhama,Bizat Ruhama,31.49938,34.69784,Israel,"1,960",780,Open air,600+,no,exotic,no,NA
Bizat Ruhama,Bizat Ruhama,31.49938,34.69784,Israel,"1,960",780,Open air,600+,no,hafting,no,NA
Bizat Ruhama,Bizat Ruhama,31.49938,34.69784,Israel,"1,960",780,Open air,600+,no,ornamentation,no,NA
Bizat Ruhama,Bizat Ruhama,31.49938,34.69784,Israel,"1,960",780,Open air,600+,no,wooden,no,NA
Bizat Ruhama,Bizat Ruhama,31.49938,34.69784,Israel,"1,960",780,Open air,600+,no,ochre,yes,Ronen et al. (1998) 
Blind River,Blind River,-33,27.91666667,South Africa,NA,150,Open air,100-199,AMH,art,no,NA
Blind River,Blind River,-33,27.91666667,South Africa,NA,150,Open air,100-199,AMH,bone,no,NA
Blind River,Blind River,-33,27.91666667,South Africa,NA,150,Open air,100-199,AMH,engraved,no,NA
Blind River,Blind River,-33,27.91666667,South Africa,NA,150,Open air,100-199,AMH,engravedBone,no,NA
Blind River,Blind River,-33,27.91666667,South Africa,NA,150,Open air,100-199,AMH,engravedEggshell,no,NA
Blind River,Blind River,-33,27.91666667,South Africa,NA,150,Open air,100-199,AMH,engravedOchre,no,NA
Blind River,Blind River,-33,27.91666667,South Africa,NA,150,Open air,100-199,AMH,exotic,no,NA
Blind River,Blind River,-33,27.91666667,South Africa,NA,150,Open air,100-199,AMH,hafting,no,NA
Blind River,Blind River,-33,27.91666667,South Africa,NA,150,Open air,100-199,AMH,ochre,no,NA
Blind River,Blind River,-33,27.91666667,South Africa,NA,150,Open air,100-199,AMH,ornamentation,no,NA
Blind River,Blind River,-33,27.91666667,South Africa,NA,150,Open air,100-199,AMH,wooden,no,NA
Blind River,Blind River,-33,27.91666667,South Africa,NA,150,Open air,100-199,AMH,engravedStone,yes, Laidler 1933
Blombos,Blombos,-34.41666667,21.21666667,South Africa,90.4,73.7,Cave,45-99,MSA hominin,art,no,NA
Blombos,Blombos,-34.41666667,21.21666667,South Africa,90.4,73.7,Cave,45-99,MSA hominin,engravedEggshell,no,NA
Blombos,Blombos,-34.41666667,21.21666667,South Africa,90.4,73.7,Cave,45-99,MSA hominin,engravedStone,no,NA
Blombos,Blombos,-34.41666667,21.21666667,South Africa,90.4,73.7,Cave,45-99,MSA hominin,exotic,no,NA
Blombos,Blombos,-34.41666667,21.21666667,South Africa,90.4,73.7,Cave,45-99,MSA hominin,hafting,no,NA
Blombos,Blombos,-34.41666667,21.21666667,South Africa,90.4,73.7,Cave,45-99,MSA hominin,ochre,yes,Henshilwood et al. 2009
Blombos,Blombos,-34.41666667,21.21666667,South Africa,90.4,73.7,Cave,45-99,MSA hominin,wooden,no,NA
Blombos,Blombos,-34.41666667,21.21666667,South Africa,90.4,73.7,Cave,45-99,MSA hominin,bone,yes,Henshilwood et al. 2001
